Player,FPM,Usage,Momentum,FP,Minutes,ClutchFP,ClutchRatio,TouchesPerMin,ThreeRate,ScoringFrequency,ScoringConsistency,DominantQuarter,LateGameEmphasis,Substitutions,StarterOrStuffer
Aaron Wiggins,0.8173076923076923,0.6153846153846154,0.0,21.25,26.0,0.0,0.0,0.5,0.6,0.23076923076923078,0.1031689194793574,1,0.16666666666666666,3.0,1
Ace Bailey,0.47368421052631576,0.42105263157894735,0.0,9.0,19.0,3.5,0.3888888888888889,0.42105263157894735,0.75,0.15789473684210525,0.05863383172090296,3,0.3333333333333333,3.0,0
Adem Bona,0.6964285714285714,0.14285714285714285,0.0,9.75,14.0,0.0,0.0,0.42857142857142855,0.0,0.07142857142857142,0.0,1,0.0,2.0,1
Ajay Mitchell,0.975,0.6666666666666666,0.0,29.25,30.0,0.0,0.0,0.6,0.375,0.26666666666666666,0.08201333720633265,2,0.375,3.0,0
Alex Caruso,1.25,0.75,0.0,15.0,12.0,0.0,0.0,0.4166666666666667,1.0,0.25,0.6896551724137926,1,0.0,2.0,0
Andre Drummond,0.8043478260869565,0.2608695652173913,0.0,18.5,23.0,0.0,0.0,0.391304347826087,0.3333333333333333,0.13043478260869565,0.09727626459143972,2,0.3333333333333333,3.0,0
Andrew Wiggins,0.8175675675675675,0.5405405405405406,0.0,30.25,37.0,2.5,0.08264462809917356,0.6756756756756757,0.45454545454545453,0.21621621621621623,0.22079233129889309,2,0.0,3.0,0
Ariel Hukporti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
Asa Newell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
Austin Reaves,1.263157894736842,1.0526315789473684,0.0,48.0,38.0,4.75,0.09895833333333333,0.868421052631579,0.6666666666666666,0.34210526315789475,0.08063243542156986,3,0.23076923076923078,4.0,0
Ayo Dosunmu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
Bam Adebayo,1.1944444444444444,0.6111111111111112,0.0,43.0,36.0,3.5,0.08139534883720931,0.4444444444444444,0.8,0.2777777777777778,0.1939702565828032,1,0.1,2.0,1
Ben Saraf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
Bismack Biyombo,0.4583333333333333,0.16666666666666666,0.0,2.75,6.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0,0.0,2.0,0
Branden Carlson,0.9125,0.7,0.0,18.25,20.0,8.5,0.4657534246575342,0.5,1.0,0.25,0.0670685111979685,4,0.6,3.0,0
Brandon Ingram,1.25,1.0303030303030303,0.0,41.25,33.0,8.75,0.21212121212121213,0.7575757575757576,0.3333333333333333,0.45454545454545453,0.19652123620480755,2,0.2,3.0,1
Brice Sensabaugh,1.1388888888888888,0.7777777777777778,0.0,10.25,9.0,0.0,0.0,1.1111111111111112,0.0,0.6666666666666666,0.08322520458523767,3,0.0,2.0,0
Bronny James,0.6111111111111112,0.2222222222222222,0.0,11.0,18.0,0.0,0.0,0.3888888888888889,0.6666666666666666,0.05555555555555555,0.0,1,0.0,5.0,0
Brooks Barnhizer,1.3214285714285714,0.42857142857142855,0.0,9.25,7.0,4.5,0.4864864864864865,0.2857142857142857,0.0,0.14285714285714285,0.0,4,1.0,1.0,1
Bryce McGowens,1.6666666666666667,1.3333333333333333,0.0,5.0,3.0,2.0,0.4,0.6666666666666666,0.0,0.6666666666666666,1.0,4,1.0,1.0,1
Caleb Houstan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
Cam Spencer,0.7115384615384616,0.38461538461538464,0.0,18.5,26.0,0.0,0.0,0.38461538461538464,0.8333333333333334,0.07692307692307693,1.0,1,0.0,4.0,0
Cam Thomas,0.9214285714285714,0.9428571428571428,0.0,32.25,35.0,14.0,0.43410852713178294,0.7428571428571429,0.25,0.45714285714285713,0.19030267434785056,4,0.375,3.0,1
Carter Bryant,1.575,1.0,0.0,15.75,10.0,6.5,0.4126984126984127,1.0,0.5,0.5,0.19199671822150105,4,0.6,3.0,1
