Player,FPM,Usage,Momentum,FP,Minutes,ClutchFP,ClutchRatio,TouchesPerMin,ThreeRate,ScoringFrequency,ScoringConsistency,DominantQuarter,LateGameEmphasis,Substitutions,StarterOrStuffer
AJ Green,0.6982758620689655,0.5862068965517241,0.0,20.25,29.0,0.0,0.0,0.4827586206896552,0.6,0.1724137931034483,0.15459944085715657,4,0.6,3.0,1
AJ Johnson,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.25,0.0,0.0,0.0,0,0.0,1.0,1
Aaron Gordon,1.1083333333333334,0.7333333333333333,0.0,33.25,30.0,2.0,0.06015037593984962,0.6333333333333333,0.5,0.36666666666666664,0.1667574985893394,1,0.18181818181818182,2.0,1
Aaron Holiday,0.825,0.9,0.0,8.25,10.0,0.0,0.0,0.7,1.0,0.3,0.32626427406199027,3,0.0,2.0,1
Aaron Nesmith,0.875,0.5588235294117647,0.0,29.75,34.0,6.25,0.21008403361344538,0.7352941176470589,0.6363636363636364,0.29411764705882354,0.14711047368265698,2,0.2,4.0,1
Ace Bailey,0.3055555555555556,0.3333333333333333,0.0,5.5,18.0,0.0,0.0,0.5,0.0,0.1111111111111111,1.0,1,0.0,3.0,0
Alex Sarr,1.5344827586206897,0.9655172413793104,0.0,44.5,29.0,1.25,0.028089887640449437,0.6896551724137931,0.375,0.3793103448275862,0.169154588652986,2,0.09090909090909091,3.0,1
Alperen Sengun,1.23125,0.875,0.0,49.25,40.0,4.0,0.08121827411167512,0.9,0.14285714285714285,0.4,0.2862051051922522,2,0.3125,5.0,0
Amen Thompson,1.0833333333333333,0.8717948717948718,0.0,42.25,39.0,3.25,0.07692307692307693,0.6923076923076923,0.25,0.38461538461538464,0.21381629409576974,2,0.2,4.0,0
Amir Coffey,0.375,0.25,0.0,1.5,4.0,0.0,0.0,0.5,1.0,0.0,0.0,0,0.0,1.0,1
Andre Jackson Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
Andrew Wiggins,0.84375,0.65625,0.0,27.0,32.0,5.0,0.18518518518518517,0.5,0.5,0.21875,0.1578923477030455,3,0.2857142857142857,2.0,1
Anfernee Simons,0.7788461538461539,0.6538461538461539,0.0,20.25,26.0,0.0,0.0,0.6153846153846154,0.8571428571428571,0.3076923076923077,0.18724952844409745,4,0.5,4.0,0
