Player,FPM,Usage,Momentum,FP,Minutes,ClutchFP,ClutchRatio,TouchesPerMin,ThreeRate,ScoringFrequency,ScoringConsistency,DominantQuarter,LateGameEmphasis,Substitutions,StarterOrStuffer
Aaron Gordon,1.0543478260869565,0.6086956521739131,0.0,24.25,23.0,0.0,0.0,0.5217391304347826,1.0,0.2608695652173913,0.16568008734963255,1,0.0,2.0,0
Aaron Holiday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
Aaron Nesmith,0.3310810810810811,0.1891891891891892,0.0,12.25,37.0,1.25,0.10204081632653061,0.5405405405405406,0.4666666666666667,0.05405405405405406,1.0,1,0.5,2.0,1
Ace Bailey,1.0833333333333333,0.7333333333333333,0.0,16.25,15.0,0.0,0.0,0.6666666666666666,1.0,0.3333333333333333,0.2072308689885548,1,0.0,3.0,0
Alperen Sengun,1.4,0.8285714285714286,0.0,49.0,35.0,3.25,0.0663265306122449,0.5142857142857142,0.2,0.3142857142857143,0.09081339396856147,3,0.09090909090909091,4.0,0
Amen Thompson,1.04375,0.725,0.0,41.75,40.0,6.5,0.15568862275449102,0.6,0.14285714285714285,0.275,0.24901035732122773,4,0.45454545454545453,3.0,0
Anfernee Simons,0.7115384615384616,0.6538461538461539,0.0,18.5,26.0,0.0,0.0,0.46153846153846156,0.4,0.23076923076923078,0.14113734330525088,1,0.16666666666666666,3.0,0
Anthony Black,0.75,0.5416666666666666,0.0,18.0,24.0,0.0,0.0,0.6666666666666666,0.625,0.25,0.18793574720364456,1,0.16666666666666666,6.0,0
Anthony Davis,1.4285714285714286,0.8571428571428571,0.0,10.0,7.0,0.0,0.0,0.7142857142857143,0.0,0.2857142857142857,1.0,1,0.0,1.0,0
Asa Newell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
Ausar Thompson,1.3362068965517242,0.6551724137931034,0.0,38.75,29.0,6.75,0.17419354838709677,0.7241379310344828,0.2,0.2413793103448276,0.06914500480945336,1,0.2857142857142857,4.0,0
Austin Reaves,1.43125,1.175,0.0,57.25,40.0,7.0,0.1222707423580786,0.825,0.5714285714285714,0.4,0.15871597323018802,1,0.1875,4.0,1
Ayo Dosunmu,0.6190476190476191,0.47619047619047616,0.0,13.0,21.0,2.0,0.15384615384615385,0.6666666666666666,0.6,0.2857142857142857,0.08833835150424443,2,0.16666666666666666,4.0,0
Baylor Scheierman,0.525,0.1,0.0,5.25,10.0,1.25,0.23809523809523808,0.1,0.0,0.0,0.0,0,0.0,3.0,1
Ben Saraf,0.20833333333333334,0.3333333333333333,0.0,2.5,12.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0,0.0,1.0,1
Ben Sheppard,0.64,0.32,0.0,16.0,25.0,0.0,0.0,0.52,0.6666666666666666,0.12,0.05439216752787599,1,0.3333333333333333,5.0,0
Blake Wesley,1.175,0.7,0.0,23.5,20.0,0.0,0.0,0.5,1.0,0.2,0.31086217979197733,3,0.0,4.0,0
Bobi Klintman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
Bones Hyland,1.53125,1.5,0.0,12.25,8.0,0.0,0.0,1.125,1.0,0.375,0.09930486593843096,3,0.0,3.0,0
Brandon Ingram,1.2727272727272727,1.121212121212121,0.0,42.0,33.0,0.0,0.0,0.7272727272727273,0.4,0.3939393939393939,0.23007938575379153,2,0.07692307692307693,2.0,1
Brandon Williams,1.4886363636363635,1.0909090909090908,0.0,32.75,22.0,2.0,0.061068702290076333,0.9545454545454546,0.2,0.5,0.24183390173310254,2,0.2727272727272727,5.0,1
Brice Sensabaugh,1.0892857142857142,0.42857142857142855,0.0,15.25,14.0,0.0,0.0,0.42857142857142855,1.0,0.21428571428571427,0.06422607578676942,3,0.0,3.0,0
Bronny James,-0.1,0.2,0.0,-0.5,5.0,0.0,0.0,0.2,0.0,0.0,0.0,0,0.0,1.0,0
Bruce Brown,0.8947368421052632,0.42105263157894735,0.0,17.0,19.0,0.0,0.0,0.3157894736842105,1.0,0.10526315789473684,1.0,2,0.5,2.0,0
Bryce McGowens,0.5833333333333334,0.5,0.0,3.5,6.0,2.0,0.5714285714285714,0.3333333333333333,0.0,0.3333333333333333,1.0,4,1.0,1.0,1
Cade Cunningham,1.8055555555555556,1.1111111111111112,0.0,65.0,36.0,0.0,0.0,0.8611111111111112,0.5454545454545454,0.4722222222222222,0.2736719927637615,3,0.35294117647058826,5.0,1
Caleb Love,1.59375,1.125,0.0,12.75,8.0,0.0,0.0,0.5,1.0,0.25,1.0,1,0.0,2.0,0
Caleb Martin,0.8653846153846154,0.5384615384615384,0.0,11.25,13.0,0.0,0.0,0.46153846153846156,0.5,0.23076923076923078,0.1941747572815533,3,0.0,5.0,0
Cam Spencer,1.0789473684210527,0.631578947368421,0.0,20.5,19.0,0.0,0.0,0.42105263157894735,0.6666666666666666,0.10526315789473684,1.0,4,1.0,3.0,1
Cam Thomas,0.8,0.6857142857142857,0.0,28.0,35.0,4.0,0.14285714285714285,0.8,0.25,0.3142857142857143,0.1224390913614216,3,0.36363636363636365,3.0,1
Cameron Johnson,0.37962962962962965,0.3333333333333333,0.0,10.25,27.0,0.0,0.0,0.2962962962962963,0.6666666666666666,0.1111111111111111,0.11337868480725626,3,0.0,1.0,1
