Player,FPM,Usage,Momentum,FP,Minutes,ClutchFP,ClutchRatio,TouchesPerMin,ThreeRate,ScoringFrequency,ScoringConsistency,DominantQuarter,LateGameEmphasis,Substitutions,StarterOrStuffer
AJ Green,0.5096153846153846,0.38461538461538464,0.0,13.25,26.0,0.0,0.0,0.3076923076923077,1.0,0.11538461538461539,0.24752475247524758,1,0.0,1.0,1
AJ Johnson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
Aaron Holiday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
Ace Bailey,0.3076923076923077,0.07692307692307693,0.0,4.0,13.0,0.0,0.0,0.46153846153846156,0.0,0.0,0.0,0,0.0,3.0,0
Alex Sarr,1.4903846153846154,0.8846153846153846,0.0,38.75,26.0,4.75,0.12258064516129032,0.6538461538461539,0.25,0.34615384615384615,0.1447663747443118,3,0.3333333333333333,2.0,1
Alperen Sengun,1.0723684210526316,0.7105263157894737,0.0,40.75,38.0,1.0,0.024539877300613498,0.8157894736842105,0.18181818181818182,0.3157894736842105,0.24147171492714184,1,0.16666666666666666,4.0,0
Amari Williams,1.25,0.0,0.0,1.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0
Amen Thompson,0.5166666666666667,0.43333333333333335,0.0,15.5,30.0,0.0,0.0,0.7666666666666667,0.125,0.26666666666666666,0.1747740036602889,3,0.125,4.0,0
Amir Coffey,-0.16666666666666666,0.3333333333333333,0.0,-0.5,3.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0,0.0,1.0,1
Andre Jackson Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
Andrew Wiggins,1.09375,0.625,0.0,26.25,24.0,0.0,0.0,0.75,0.14285714285714285,0.25,0.2310141537189543,2,0.0,1.0,1
Anfernee Simons,0.8425925925925926,0.5925925925925926,0.0,22.75,27.0,0.0,0.0,0.48148148148148145,0.6,0.18518518518518517,0.11102051004394861,1,0.4,3.0,0
Anthony Black,0.7023809523809523,0.6666666666666666,0.0,14.75,21.0,0.0,0.0,0.8571428571428571,0.0,0.2857142857142857,0.1739093631734772,3,0.0,5.0,0
Anthony Davis,1.4407894736842106,0.9473684210526315,0.0,54.75,38.0,2.5,0.045662100456621,1.0,0.36363636363636365,0.5263157894736842,0.25958326936350606,2,0.2,4.0,1
Anthony Edwards,1.3142857142857143,1.0857142857142856,0.0,46.0,35.0,2.0,0.043478260869565216,0.8571428571428571,0.2727272727272727,0.4857142857142857,0.2654804653086934,3,0.17647058823529413,2.0,1
Anthony Gill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
Ariel Hukporti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
Asa Newell,1.375,1.25,0.0,5.5,4.0,0.0,0.0,1.0,0.0,0.5,1.0,4,1.0,2.0,1
Ausar Thompson,1.3125,1.0,0.0,31.5,24.0,8.25,0.2619047619047619,0.875,0.2222222222222222,0.375,0.12970037188293573,2,0.2222222222222222,5.0,0
Austin Reaves,1.3716216216216217,1.0,0.0,50.75,37.0,1.25,0.024630541871921183,0.5945945945945946,0.5,0.3783783783783784,0.21232170613950577,3,0.07142857142857142,3.0,1
Bam Adebayo,1.4196428571428572,1.0357142857142858,0.0,39.75,28.0,0.0,0.0,0.8928571428571429,0.4,0.4642857142857143,0.22649831809998283,1,0.0,6.0,0
