Player,FPM,Usage,Momentum,FP,Minutes,ClutchFP,ClutchRatio,TouchesPerMin,ThreeRate,ScoringFrequency,ScoringConsistency,DominantQuarter,LateGameEmphasis,Substitutions,StarterOrStuffer
AJ Green,0.8387096774193549,0.8064516129032258,0.0,26.0,31.0,5.75,0.22115384615384615,0.6451612903225806,0.75,0.3225806451612903,0.19221197655427175,1,0.1,2.0,1
Aaron Nesmith,0.9571428571428572,0.5714285714285714,0.0,33.5,35.0,5.0,0.14925373134328357,0.5428571428571428,0.6363636363636364,0.2,0.14575793104550952,1,0.2857142857142857,2.0,1
Amir Coffey,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0
Andre Jackson Jr.,0.4,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,1
Andrew Wiggins,0.6209677419354839,0.45161290322580644,0.0,19.25,31.0,6.25,0.3246753246753247,0.3870967741935484,0.6,0.12903225806451613,0.12390756950578247,2,0.25,2.0,1
Anfernee Simons,0.5760869565217391,0.6086956521739131,0.0,13.25,23.0,0.0,0.0,0.6956521739130435,0.625,0.21739130434782608,0.1284195477036938,2,0.0,3.0,0
Anthony Davis,1.4428571428571428,0.8857142857142857,0.0,50.5,35.0,7.25,0.14356435643564355,0.7428571428571429,0.125,0.42857142857142855,0.24606631503440873,4,0.3333333333333333,6.0,0
Anthony Edwards,2.25,1.6666666666666667,0.0,6.75,3.0,0.0,0.0,1.6666666666666667,0.6666666666666666,0.6666666666666666,1.0,1,0.0,0.0,1
Ariel Hukporti,0.4,0.1,0.0,4.0,10.0,0.0,0.0,0.4,0.0,0.0,0.0,0,0.0,2.0,0
Ausar Thompson,1.2222222222222223,0.6944444444444444,0.0,44.0,36.0,7.75,0.17613636363636365,0.75,0.25,0.3888888888888889,0.08457051506292582,2,0.2857142857142857,4.0,0
Austin Reaves,2.16025641025641,1.5897435897435896,0.0,84.25,39.0,7.25,0.08605341246290801,1.1794871794871795,0.3,0.8461538461538461,0.4039453537023208,2,0.24242424242424243,2.0,1
Bam Adebayo,1.0328947368421053,0.7368421052631579,0.0,39.25,38.0,5.0,0.12738853503184713,0.7631578947368421,0.4444444444444444,0.3684210526315789,0.11250547395062832,2,0.14285714285714285,5.0,0
Baylor Scheierman,0.5,0.0,0.0,2.5,5.0,0.0,0.0,0.2,0.0,0.0,0.0,0,0.0,1.0,1
Ben Saraf,0.7166666666666667,0.3333333333333333,0.0,10.75,15.0,0.0,0.0,0.4666666666666667,0.25,0.0,0.0,0,0.0,2.0,1
Ben Sheppard,0.484375,0.3125,0.0,15.5,32.0,3.75,0.24193548387096775,0.5,0.625,0.125,0.09221904544598288,1,0.25,3.0,1
Bismack Biyombo,0.10416666666666667,0.0,0.0,1.25,12.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0,0.0,3.0,0
Blake Wesley,1.2647058823529411,0.5882352941176471,0.0,21.5,17.0,0.0,0.0,0.8823529411764706,0.16666666666666666,0.23529411764705882,0.10765209331567786,2,0.25,4.0,0
Bobby Portis,0.8913043478260869,0.6521739130434783,0.0,20.5,23.0,0.0,0.0,0.6086956521739131,0.3333333333333333,0.17391304347826086,0.08538575392855735,2,0.25,3.0,0
Bobi Klintman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
Bogdan Bogdanovic,0.21875,0.25,0.0,5.25,24.0,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,0,0.0,2.0,1
Bones Hyland,0.6447368421052632,0.5263157894736842,0.0,12.25,19.0,2.0,0.16326530612244897,0.42105263157894735,0.5,0.10526315789473684,1.0,3,0.0,4.0,0
Brandon Ingram,1.171875,0.875,0.0,37.5,32.0,2.0,0.05333333333333334,0.65625,0.2,0.3125,0.1702509261793881,2,0.3,4.0,0
Bronny James,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
Brook Lopez,1.1730769230769231,0.38461538461538464,0.0,15.25,13.0,0.0,0.0,0.5384615384615384,1.0,0.15384615384615385,1.0,1,0.5,2.0,0
Cade Cunningham,1.0723684210526316,1.0263157894736843,0.0,40.75,38.0,2.0,0.049079754601226995,0.8157894736842105,0.2222222222222222,0.39473684210526316,0.24688414826819235,4,0.4666666666666667,5.0,0
Caleb Martin,0.7291666666666666,0.4166666666666667,0.0,8.75,12.0,3.0,0.34285714285714286,0.75,0.0,0.16666666666666666,1.0,4,1.0,5.0,0
Cam Christie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
Cam Thomas,1.390625,1.375,0.0,44.5,32.0,7.0,0.15730337078651685,1.1875,0.5384615384615384,0.75,0.25409516499237356,3,0.08333333333333333,4.0,0
Carter Bryant,0.3,0.6,0.0,1.5,5.0,0.0,0.0,1.0,0.0,0.4,1.0,1,0.0,2.0,0
Chaz Lanier,0.3,0.2,0.0,1.5,5.0,0.0,0.0,0.4,1.0,0.0,0.0,0,0.0,1.0,0
